,Browser,Country,Date Submitted,Device,How did you hear about us?,OS,Source URL,User,Medium,OSGroup
0,Firefox 57.0,Indonesia,2018-01-05 01:35:47,desktop,Friends / Family -                                                     ,Windows 8.1,https://algorit.ma/,00000000,Friends / Family ,Windows
1,Safari 11.0.1,Indonesia,2018-01-05 04:25:43,desktop,Media Publishing,Mac OS X 10.13.1,https://algorit.ma/,00000000,Media Publishing,Mac
2,Chrome 63.0.3239,Indonesia,2018-01-05 16:36:25,desktop,Friends / Family -                                                     ,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
3,Chrome 62.0.3202,Indonesia,2018-01-06 16:40:16,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
4,Chrome 63.0.3239,Indonesia,2018-01-08 03:45:42,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
5,Chrome 63.0.3239,India,2018-01-09 10:58:08,desktop,Email,Windows 10,https://algorit.ma/,00000000,Email,Windows
6,Chrome 63.0.3239,India,2018-01-09 11:05:51,desktop,Others - ha ha                                                     ,Windows 7,https://algorit.ma/,00000000,Others ,Windows
7,Firefox 57.0,Indonesia,2018-01-09 11:12:03,desktop,Friends / Family -                                                     ,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
8,Chrome 63.0.3239,India,2018-01-09 11:46:05,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
9,Firefox 33.0,Indonesia,2018-01-10 02:28:54,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
10,Firefox Mobile 57.0,Indonesia,2018-01-10 05:55:50,tablet,Friends / Family -                                                     ,Android 7.0,https://algorit.ma/,00000000,Friends / Family ,Android
11,Chrome 63.0.3239,Indonesia,2018-01-10 06:21:17,desktop,Friends / Family -                                                     ,Mac OS X 10.12.6,https://algorit.ma/,00000000,Friends / Family ,Mac
12,Chrome 63.0.3239,Indonesia,2018-01-10 09:41:41,desktop,Search Engine,Mac OS X 10.13.1,https://algorit.ma/,00000000,Search Engine,Mac
13,Firefox 57.0,Indonesia,2018-01-10 15:52:28,desktop,Friends / Family -                                                     ,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
14,Chrome 63.0.3239,Indonesia,2018-01-11 06:28:11,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
15,Chrome 63.0.3239,Indonesia,2018-01-11 07:55:39,desktop,Others - tech in asia                                                    ,Windows 10,https://algorit.ma/,00000000,Others ,Windows
16,Chrome 63.0.3239,Indonesia,2018-01-11 09:00:47,desktop,Others - Tech in Asia                                                    ,Windows 10,https://algorit.ma/,00000000,Others ,Windows
17,Chrome Mobile 56.0.2924,Indonesia,2018-01-12 08:51:37,phone,Others -                                                     ,Android 7.1.1,https://algorit.ma/,00000000,Others ,Android
18,Chrome 63.0.3239,Indonesia,2018-01-12 15:32:26,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
19,Chrome 63.0.3239,Indonesia,2018-01-15 07:57:36,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
20,Chrome 63.0.3239,Indonesia,2018-01-16 03:03:03,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
21,Opera 50.0.2762,Indonesia,2018-01-16 14:17:57,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
22,Chrome 63.0.3239,Indonesia,2018-01-17 07:01:53,desktop,Search Engine,Windows 8.1,https://algorit.ma/,00000000,Search Engine,Windows
23,Chrome 49.0.2623,Indonesia,2018-01-17 09:05:57,desktop,Social Media / Online Ads,Windows XP,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
24,Chrome Mobile 63.0.3239,Indonesia,2018-01-17 18:42:27,phone,Search Engine,Android 7.0,https://algorit.ma/,00000000,Search Engine,Android
25,Chrome 63.0.3239,Indonesia,2018-01-18 09:09:23,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
26,Chrome 63.0.3239,Indonesia,2018-01-19 11:18:50,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
27,Opera 50.0.2762,Indonesia,2018-01-20 01:42:34,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
28,Chrome 63.0.3239,Indonesia,2018-01-20 08:45:10,desktop,"Others - Machine Learning Workshop
",Windows 10,https://algorit.ma/,00000000,Others ,Windows
29,Chrome 63.0.3239,Indonesia,2018-01-21 09:40:30,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
30,Firefox 57.0,Indonesia,2018-01-23 11:02:12,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
31,Chrome 63.0.3239,Indonesia,2018-01-24 02:10:47,desktop,Friends / Family - The Body Shop,Windows 8.1,https://algorit.ma/,00000000,Friends / Family ,Windows
32,Chrome Mobile 63.0.3239,Indonesia,2018-01-24 09:47:50,phone,Media Publishing,Android 6.0.1,https://algorit.ma/,00000000,Media Publishing,Android
33,Chrome 63.0.3239,Indonesia,2018-01-24 23:49:14,desktop,Media Publishing,Windows 8.1,https://algorit.ma/,00000000,Media Publishing,Windows
34,Chrome 63.0.3239,Indonesia,2018-01-25 03:44:07,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
35,Chrome 53.0.2785,Indonesia,2018-01-25 03:59:37,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
36,Firefox 58.0,Indonesia,2018-01-25 04:02:22,desktop,Others - IDX Channel,Windows 10,https://algorit.ma/,00000000,Others ,Windows
37,Chrome 64.0.3282,Indonesia,2018-01-25 14:18:38,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
38,Chrome 63.0.3239,Indonesia,2018-01-25 16:13:34,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
39,Firefox 52.0,Indonesia,2018-01-26 02:53:59,desktop,Others - RFI,Windows XP,https://algorit.ma/,00000000,Others ,Windows
40,Edge 16.16299,Indonesia,2018-01-27 12:14:00,desktop,Friends / Family - Pak Andy,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
41,Chrome 63.0.3239,Indonesia,2018-01-27 18:38:40,tablet,Social Media / Online Ads,Android 4.4.2,https://algorit.ma/,00000000,Social Media / Online Ads,Android
42,Firefox 57.0,Indonesia,2018-01-29 03:59:15,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
43,Chrome 63.0.3239,Singapore,2018-01-29 09:06:21,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
44,Chrome Mobile 63.0.3239,Indonesia,2018-01-29 16:06:08,phone,Friends / Family - After interview for IDX Channel,Android 7.0,https://algorit.ma/,00000000,Friends / Family ,Android
45,Chrome 60.0.3112,Indonesia,2018-02-01 07:16:36,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
46,Chrome 63.0.3239,Indonesia,2018-02-02 06:00:26,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
47,Firefox 58.0,Indonesia,2018-02-02 07:32:25,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
48,Chrome 63.0.3239,Indonesia,2018-02-03 08:52:02,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
49,Mobile Safari 11.0,Indonesia,2018-02-04 14:41:01,tablet,Social Media / Online Ads,iOS 11.2.2,https://algorit.ma/,00000000,Social Media / Online Ads,iOS
50,Chrome Mobile 64.0.3282,Indonesia,2018-02-05 12:21:44,phone,Media Publishing,Android 6.0,https://algorit.ma/,00000000,Media Publishing,Android
51,Chrome 64.0.3282,Indonesia,2018-02-06 14:52:55,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
52,Opera 50.0.2762,Indonesia,2018-02-07 04:22:42,desktop,Others - Australia-Indonesia Digital Forum 2018,Windows 10,https://algorit.ma/,00000000,Others ,Windows
53,Firefox 57.0,Indonesia,2018-02-07 07:17:05,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
54,Chrome 63.0.3239,Indonesia,2018-02-08 02:03:24,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
55,Chrome 63.0.3239,Indonesia,2018-02-08 08:25:35,desktop,Others - eventbrite,Windows 10,https://algorit.ma/,00000000,Others ,Windows
56,Chrome 63.0.3239,Indonesia,2018-02-08 08:31:52,desktop,Friends / Family - varyan,Windows 10,https://algorit.ma/,00000000,Friends / Family ,Windows
57,Chrome 55.0.2883,Indonesia,2018-02-09 03:08:13,desktop,Social Media / Online Ads,Windows 10,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
58,Chrome Mobile 64.0.3282,Indonesia,2018-02-09 12:26:47,phone,Others - From DS,Android 7.1.2,https://algorit.ma/,00000000,Others ,Android
59,Chrome Mobile 64.0.3282,Indonesia,2018-02-10 11:09:46,phone,Social Media / Online Ads,Android 7.1.1,https://algorit.ma/,00000000,Social Media / Online Ads,Android
60,Chrome 63.0.3239,Indonesia,2018-02-12 03:53:23,desktop,Media Publishing,Windows 7,https://algorit.ma/,00000000,Media Publishing,Windows
61,Chrome 63.0.3239,Indonesia,2018-02-12 04:10:57,desktop,Email,Windows 7,https://algorit.ma/?utm_source=Newsletter,00000000,Email,Windows
62,Chrome 63.0.3239,Indonesia,2018-02-12 04:38:29,desktop,Social Media / Online Ads,Windows 8.1,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
63,Chrome 64.0.3282,Indonesia,2018-02-12 07:13:18,desktop,Media Publishing,Windows 10,https://algorit.ma/,00000000,Media Publishing,Windows
64,Chrome 64.0.3282,Indonesia,2018-02-12 09:40:46,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
65,Chrome 63.0.3239,Indonesia,2018-02-12 19:15:06,desktop,Search Engine,Windows 7,https://algorit.ma/,00000000,Search Engine,Windows
66,Chrome 62.0.3202,Indonesia,2018-02-13 11:09:21,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
67,Chrome 63.0.3239,Indonesia,2018-02-13 17:33:43,desktop,Social Media / Online Ads,Windows 7,https://algorit.ma/,00000000,Social Media / Online Ads,Windows
68,Chrome 64.0.3282,Indonesia,2018-02-14 23:51:35,desktop,Search Engine,Windows 10,https://algorit.ma/,00000000,Search Engine,Windows
